index,x,y,yaw,curvature,curvature_abs,offset_m,raceline_deviation_m,nudge_weight
0,-68.92078884541472,54.336121707961446,-3.094552928807982,0.011457762738811592,0.011457762738811592,0.0,0.0,0.0
1,-68.95055732506029,54.33471527903884,-3.0942136912841605,0.011308462711338238,0.011308462711338238,0.0,0.0,0.0
2,-68.98032323860643,54.33329891770644,-3.093879333790724,0.011131819629007113,0.011131819629007113,0.0,0.0,0.0
3,-69.01008689122928,54.33187276843378,-3.0935502675050706,0.010954674654767009,0.010954674654767009,0.0,0.0,0.0
4,-69.03984858810477,54.33043697569015,-3.0932265032419712,0.010777043484478502,0.010777043484478502,0.0,0.0,0.0
5,-69.06960863440901,54.32899168394499,-3.0929080514968175,0.010598942580332308,0.010598942580332308,0.0,0.0,0.0
6,-69.099367335318,54.327537037667724,-3.092594922438254,0.010420388187343354,0.010420388187343354,0.0,0.0,0.0
7,-69.12912499600776,54.326073181327736,-3.0922871259119753,0.010241396564325433,0.010241396564325433,0.0,0.0,0.0
8,-69.1588819216544,54.32460025939445,-3.0919846714382118,0.010061984173534691,0.010061984173534691,0.0,0.0,0.0
9,-69.18863841743389,54.32311841633726,-3.0916875682109892,0.009882167368444718,0.009882167368444718,0.0,0.0,0.0
10,-69.2183947885223,54.32162779662556,-3.091395825098977,0.009701962596423868,0.009701962596423868,0.0,0.0,0.0
11,-69.24815134009572,54.320128544728796,-3.091109450642452,0.009521386453522376,0.009521386453522376,0.0,0.0,0.0
12,-69.2779083773301,54.31862080511634,-3.0908284530538643,0.009340455384387361,0.009340455384387361,0.0,0.0,0.0
13,-69.30766620540153,54.3171047222576,-3.0905528402189235,0.009159185944699048,0.009159185944699048,0.0,0.0,0.0
14,-69.33742512948608,54.31558044062201,-3.0902826196929665,0.00897759485172771,0.00897759485172771,0.0,0.0,0.0
15,-69.36718545475973,54.314048104678946,-3.0900177987021205,0.00879569860891987,0.00879569860891987,0.0,0.0,0.0
16,-69.39694748639855,54.312507858897824,-3.08975838414393,0.008613513914112485,0.008613513914112485,0.0,0.0,0.0
17,-69.42671152957857,54.310959847748045,-3.0895043825851607,0.00843105743724969,0.00843105743724969,0.0,0.0,0.0
18,-69.45647788947583,54.309404215699004,-3.089255800263748,0.008248345761782386,0.008248345761782386,0.0,0.0,0.0
19,-69.48624687126643,54.30784110722018,-3.0890126430845952,0.008065395852099538,0.008065395852099538,0.0,0.0,0.0
20,-69.51601878012632,54.30627066678089,-3.0887749166222354,0.007882224122920266,0.007882224122920266,0.0,0.0,0.0
21,-69.54579392123156,54.304693038850566,-3.08854262612223,0.007698847450983557,0.007698847450983557,0.0,0.0,0.0
22,-69.5755725997582,54.303108367898595,-3.088315776498909,0.007515282405911465,0.007515282405911465,0.0,0.0,0.0
23,-69.60535512088234,54.30151679839446,-3.088094372333598,0.007331545983142973,0.007331545983142973,0.0,0.0,0.0
24,-69.63514178977995,54.2999184748075,-3.0878784178763015,0.007147654636248292,0.007147654636248292,0.0,0.0,0.0
25,-69.66493291162709,54.298313541607136,-3.0876679170474546,0.006963625236601554,0.006963625236601554,0.0,0.0,0.0
26,-69.69472879159976,54.29670214326275,-3.0874628734369356,0.006779474294401002,0.006779474294401002,0.0,0.0,0.0
27,-69.72452973487411,54.295084424243825,-3.087263290301414,0.0065952188458358076,0.0065952188458358076,0.0,0.0,0.0
28,-69.75433604662608,54.29346052901968,-3.0870691705666595,0.006410875230380173,0.006410875230380173,0.0,0.0,0.0
29,-69.78414803203172,54.291830602059754,-3.0868805168306994,0.006226460253362106,0.006226460253362106,0.0,0.0,0.0
30,-69.8139659962671,54.290194787833464,-3.0866973313585038,0.006041990588101866,0.006041990588101866,0.0,0.0,0.0
31,-69.84379024450827,54.2885532308102,-3.0865196160856705,0.005857482767575977,0.005857482767575977,0.0,0.0,0.0
32,-69.87362108193125,54.2869060754594,-3.086347372617402,0.005672953504868746,0.005672953504868746,0.0,0.0,0.0
33,-69.90345881371209,54.28525346625042,-3.086180602230001,0.005488419201505229,0.005488419201505229,0.0,0.0,0.0
