policy,step,nearest_idx,start_centerline_idx,cumulative_progress_idx,cumulative_progress_m,lap_progress_ratio,x,y,yaw,actual_speed_mps,actual_speed_mps_obs,actual_speed_index,rule_speed_mps_obs,cte,heading_error,curv_short_abs,curv_mid_abs,curv_long_abs,upcoming_curvature_abs,previous_delta_speed_mps_obs,correction_action,raw_delta_speed_mps,raw_assist_ratio,assist_ratio,assist_gain,rl_gate_enabled,rl_gate_scale,rl_gate_good_count,rl_gate_bad_count,delta_speed_mps,rule_speed_mps,rule_speed_index,speed_index_correction,requested_speed_mps,requested_speed_index,executed_speed_index,target_speed_mps,steering_rad,reward,reward_progress,reward_lap,reward_early_finish,penalty_tracking,penalty_curvature_speed_section,penalty_target_speed_smoothness,penalty_residual_smoothness,penalty_residual_excess,residual_excess_mps,penalty_time,penalty_crash,penalty_timeout,reward_curvature_section_abs,lap_completed,crashed,timeout
model,0,3909,3909,0.0,0.0,0.0,5.7049107916256046e-05,1.11496399519384e-06,0.01954144611954689,0.011412000453472137,-0.10984311252832413,0.022222222222222216,0.99833744764328,0.6155572533607483,-0.2467496246099472,0.0006453184760175645,0.0008525637676939368,0.0011284411884844303,0.0008525637676939368,0.0,0.0773133784532547,0.30897946393786074,0.05156802342832089,0.05156802342832089,1.0,True,1.0,0,0,0.30897946393786074,5.99168716185796,0.5546319068731066,0.034331051548651195,6.30066662579582,0.5889629584217578,0.022222222222222216,1.2,-0.328284589813968,-0.6001937961097653,0.0,0.0,0.0,0.5541332088410855,1.1779068767520661e-05,0.007999999999999998,0.0,0.0,0.0,0.02,0.0,0.0,0.0008179908866333793,False,False,False
model,1,3909,3909,0.0,0.0,0.0,0.0005012210826211123,9.795831717035064e-06,0.01954144611954689,0.0774393586982292,-0.10250673443078995,0.04444444444444443,0.99833744764328,0.6154487133026123,-0.2467496246099472,0.0006453184760175645,0.0008525637676939368,0.0011284411884844303,0.0008525637676939368,0.05156802386045456,0.07753816246986389,0.3098778032207017,0.05171795436739922,0.05171795436739922,1.0,True,1.0,0,0,0.3098778032207017,5.99168716185796,0.5546319068731066,0.03443086702452241,6.301564965078661,0.5890627738976291,0.04444444444444443,1.4,-0.29037050154943267,-0.5821148852446322,0.0,0.0,0.0,0.5540463767945767,1.6032621378014233e-05,0.007999999999999998,0.0,0.0,0.0,0.02,0.0,0.0,0.0008179908866333793,False,False,False
model,2,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.0016373869725454747,3.197679611579974e-05,0.0194805239863822,0.14983711832580873,-0.09446254372596741,0.06666666666666665,0.9983208775520325,0.6151711344718933,-0.24679316580295563,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.051717955619096756,0.06718048453330994,0.2684838059526555,0.04480938318371773,0.04480938318371773,1.0,True,1.0,0,0,0.2684838059526555,5.99168716185796,0.5546319068731066,0.029831533994739496,6.260170967810615,0.5844634408678462,0.06666666666666665,1.5999999999999999,-0.2565902329777031,-0.4342713471678316,0.15000296910499727,0.0,0.0,0.5538351990282535,2.111733028680002e-05,0.007999999999999998,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,3,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.0035277302264502225,6.856917998413769e-05,0.019199093270151436,0.22830236108205582,-0.08574417978525162,0.08888888888888886,0.9983208775520325,0.6147090196609497,-0.24707458913326263,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.044809382408857346,0.06851160526275635,0.27379979166935864,0.045697240710258484,0.045697240710258484,1.0,True,1.0,0,0,0.27379979166935864,5.991604469192685,0.5546227187991872,0.03042219907437318,6.265404260862044,0.5850449178735605,0.08888888888888886,1.7999999999999998,-0.22674978406916035,-0.581873339767509,0.0,0.0,0.0,0.5535358630120755,2.6726621144231276e-05,0.007999999999999998,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,4,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.0062314924652011085,0.00011964753325006372,0.01853561035654478,0.31254658381260403,-0.07638370990753174,0.11111111111111109,0.9983208775520325,0.6140468120574951,-0.2477380782365799,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.04569724202156067,0.07147045433521271,0.28562453663793147,0.047670793041586876,0.047670793041586876,1.0,True,1.0,0,0,0.28562453663793147,5.991604469192685,0.5546227187991872,0.03173605962643683,6.277229005830617,0.5863587784256241,0.11111111111111109,1.9999999999999998,-0.20038906159182418,-0.5818957083496792,0.0,0.0,0.0,0.5531719692051411,3.2995828573125027e-05,0.007999999999999998,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,5,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.009805124182078538,0.00018380974476624504,0.017310740324713397,0.4022949960196754,-0.06641166657209396,0.1333333333333333,0.9983208775520325,0.6131683588027954,-0.24896295368671417,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.047670792788267136,0.07264739274978638,0.2903280535309025,0.04845581096410752,0.04845581096410752,1.0,True,1.0,0,0,0.2903280535309025,5.991604469192685,0.5546227187991872,0.03225867261454472,6.281932522723588,0.5868813914137321,0.1333333333333333,2.1999999999999997,-0.16616814613713113,-0.5810901066893706,0.0,0.0,0.0,0.5527754254639149,3.992495257348129e-05,0.007999999999999998,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,6,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.014302426129158677,0.00025737523791865397,0.015327530194727292,0.4972858734936612,-0.05585712566971779,0.15555555555555556,0.9983208775520325,0.6120559573173523,-0.25094616413116455,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.04845581203699112,0.07351276278495789,0.29378641849605197,0.049033012777566914,0.049033012777566914,1.0,True,1.0,0,0,0.29378641849605197,5.991604469192685,0.5546227187991872,0.03264293538845022,6.285390887688737,0.5872656541876374,0.15555555555555556,2.4,-0.14658860231720472,-0.580630841514529,0.0,0.0,0.0,0.552381306886673,4.751399314530006e-05,0.008000000000000007,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,7,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.019749695584565248,0.00024038476135344658,0.012781349984488488,0.5923858734936612,-0.04529045894742012,0.17777777777777778,0.9983208775520325,0.6106061339378357,-0.2534923255443573,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.04903301224112511,0.07452841103076935,0.297845355329396,0.04971045015752316,0.04971045015752316,1.0,True,1.0,0,0,0.297845355329396,5.991604469192685,0.5546227187991872,0.033093928369932885,6.289449824522081,0.5877166471691201,0.17777777777777778,2.6,-0.12896595391168578,-0.5801508545696311,0.0,0.0,0.0,0.5518579885363579,5.5762950288581324e-05,0.008000000000000007,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,8,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.02614250881812853,-4.818943966847811e-05,0.010543972123652648,0.6874858734936612,-0.03472379222512245,0.20000000000000004,0.9983208775520325,0.6086455583572388,-0.25572970509529114,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.04971044883131981,0.07538604736328125,0.30127281332383715,0.0502824935913086,0.0502824935913086,1.0,True,1.0,0,0,0.30127281332383715,5.991604469192685,0.5546227187991872,0.033474757035981906,6.292877282516523,0.5880974758351692,0.20000000000000004,2.8000000000000003,-0.11307797036238126,-0.579113759985442,0.0,0.0,0.0,0.5508488729596138,6.467182400332509e-05,0.008000000000000007,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,9,3911,3909,2.0,0.06000118764199891,0.00017551557700745942,0.03348150522838987,-0.00045665678269153555,0.007805528205113254,0.7825858734936612,-0.024157125502824783,0.22222222222222227,0.9983043670654297,0.606320321559906,-0.25845056772232056,0.0006591423298232257,0.000866370799485594,0.0011422192910686135,0.000866370799485594,0.050282493233680725,0.07616159319877625,0.3043722048411455,0.05079978266358376,0.05079978266358376,1.0,True,1.0,0,0,0.3043722048411455,5.991604469192685,0.5546227187991872,0.03381913387123839,6.295976674033831,0.5884418526704257,0.22222222222222227,3.0000000000000004,-0.09902347273111105,-0.42792184327022054,0.15000296910499727,0.0,0.0,0.549668899178505,7.486202141644039e-05,0.008000000000000007,0.0,0.0,0.0,0.02,0.0,0.0,0.0008318002379604484,False,False,False
