corner_id,turn_direction,entrance_index,apex_index,exit_index,entrance_progress_idx,apex_progress_idx,exit_progress_idx,entrance_progress_m,apex_progress_m,exit_progress_m
0,left,106,140,210,7592,7626,7696,227.76450828902787,228.78452847894184,230.8845700464118
1,left,1539,1628,1697,9025,9114,9183,270.7553592345201,273.425412084589,275.495453058238
2,left,2810,2883,2939,10296,10369,10425,308.8861139810104,311.0761573299433,312.7561905839193
3,left,3117,3245,3295,10603,10731,10781,318.09629628405725,321.93637229314515,323.43640198419513
4,right,4247,4433,4538,338,524,629,10.140200711497815,15.720311162203714,18.87037351340866
5,right,4709,4917,5061,800,1008,1152,24.000475056799566,30.24059857156745,34.56068408179137
6,left,5614,5719,5767,1705,1810,1858,51.15101246480407,54.30107481600901,55.741103319416986
