corner_id,role,progress_m,raceline_index,turn_direction,rule_target_speed_mps,model_target_speed_mps,rule_executed_speed_index,model_executed_speed_index,model_correction_action,model_delta_speed_mps,model_speed_index_correction,delta_target_speed_mps
0,entrance,227.76450828902787,106,left,5.06043021112558,4.8150515197970964,0.4511589123472867,0.4238946133107885,-0.09697937965393066,-0.24537869132848408,-0.02726429903649823,-0.2453786913284839
0,apex,228.78452847894184,140,left,3.9711400401020844,3.596761236132864,0.3301266711224538,0.28852902623698484,-0.18854978680610657,-0.37437880396922074,-0.04159764488546897,-0.37437880396922063
0,exit,230.8845700464118,210,left,3.291851610920892,2.8386541248410766,0.25465017899121023,0.20429490276011963,-0.2753450274467468,-0.45319748607981536,-0.050355276231090595,-0.45319748607981536
1,entrance,270.7553592345201,1539,left,5.9104785027128,6.214527169726567,0.5456087225236445,0.5793919077473964,0.07723537087440491,0.3044628294775553,0.03382920327528392,0.30404866701376765
1,apex,273.425412084589,1628,left,5.929299644087227,6.253393538141983,0.5476999604541364,0.583710393126887,0.08200597763061523,0.32430899000781926,0.03603433222309103,0.32409389405475597
1,exit,275.495453058238,1697,left,5.944283387640934,6.267684120642178,0.5493648208489926,0.5852982356269086,0.08162541687488556,0.32361956067492,0.03595772896388,0.32340073300124406
2,entrance,308.8861139810104,2810,left,4.718926206520354,4.491489626219107,0.41321402294670606,0.38794329180212306,-0.09639336168766022,-0.22743658030124744,-0.025270731144583048,-0.22743658030124703
2,apex,311.0761573299433,2883,left,5.850784895334765,5.998297460187492,0.5389760994816406,0.5553663844652769,0.037957269698381424,0.14811206231015292,0.016456895812239213,0.14751256485272624
2,exit,312.7561905839193,2939,left,5.884472808200126,6.156214144797452,0.5427192009111251,0.5729126827552724,0.0692344605922699,0.2717413365973255,0.03019348184414728,0.2717413365973256
3,entrance,318.09629628405725,3117,left,5.987861582035345,6.323404625768549,0.5542068424483717,0.5914894028631721,0.08401380479335785,0.33554304373320387,0.03728256041480043,0.3355430437332041
3,apex,321.93637229314515,3245,left,5.960971225752378,6.292312843431903,0.5512190250835975,0.5880347603813225,0.08328036963939667,0.3311317276614398,0.03679241418460442,0.3313416176795245
3,exit,323.43640198419513,3295,left,5.971667923227123,6.301926068608067,0.5524075470252359,0.5891028965120074,0.082914799451828,0.3302581453809432,0.03669534948677147,0.33025814538094345
4,entrance,10.140200711497815,4247,right,5.97240434620447,6.308841594857488,0.5524893718004966,0.5898712883174987,0.0844557136297226,0.33643724865301816,0.03738191651700202,0.3364372486530183
4,apex,15.720311162203714,4433,right,5.6385759955278925,5.833617922722079,0.5153973328364325,0.537068658080231,0.0518600232899189,0.19504192719418612,0.02167132524379846,0.19504192719418612
4,exit,18.87037351340866,4538,right,5.4607186639812,5.573287517294916,0.4956354071090222,0.5081430574772129,0.031327757984399796,0.11407362928949491,0.012674847698832767,0.11256885331371613
5,entrance,24.000475056799566,4709,right,4.5164558170042515,4.308545992902638,0.3907173130004724,0.36761622143362643,-0.09206768870353699,-0.20790982410161313,-0.023101091566845904,-0.20790982410161352
5,apex,30.24059857156745,4917,right,5.048439817960133,4.91379200593776,0.44982664644001474,0.43486577843752894,-0.05334234610199928,-0.13464781202237183,-0.014960868002485759,-0.1346478120223722
5,exit,34.56068408179137,5061,right,5.901629588213839,6.213946207214748,0.5446255098015377,0.5793273563571942,0.07934093475341797,0.31231661900090923,0.034701846555656585,0.31231661900090923
6,entrance,51.15101246480407,5614,left,5.878134030782367,6.131287476074365,0.5420148923091519,0.5701430528971517,0.0645681768655777,0.25315344529199774,0.02812816058799975,0.2531534452919981
6,apex,54.30107481600901,5719,left,5.987551047176202,6.329158934134262,0.5541723385751336,0.5921287704593624,0.08555188775062561,0.3416650187091235,0.03796277985656928,0.34160788695805966
6,exit,55.741103319416986,5767,left,5.990307899210516,6.341164648403478,0.5544786554678351,0.5934627387114975,0.08782748878002167,0.3509144571831062,0.038990495242567355,0.3508567491929613
