index,x,y,yaw,curvature,curvature_abs
0,-10.047211740218962,5.335159263157832,-2.924413156038686,0.7267951079123871,0.7267951079123871
1,-10.09392401584173,5.3239917808760495,-2.8847892161150552,0.9273260959393727,0.9273260959393727
2,-10.139819780755829,5.310840237701114,-2.8345348626323577,1.1838341902005245,1.1838341902005245
3,-10.18445680083794,5.295285062190798,-2.771918356822858,1.4707995435695782,1.4707995435695782
4,-10.227392841964736,5.276906682902878,-2.695921757381021,1.7854503567560953,1.7854503567560953
5,-10.268185670012889,5.255285528395125,-2.605797497574845,2.1127949773333685,2.1127949773333685
6,-10.306393050859059,5.230002027225311,-2.5015135558156087,2.420675339525411,2.420675339525411
7,-10.34157275037994,5.200636607951214,-2.3845009361076017,2.6511464139630987,2.6511464139630987
8,-10.37329292956568,5.166786244471726,-2.2637755284943113,2.5235135599274683,2.5235135599274683
9,-10.401434260578297,5.128545317851784,-2.1542440414444144,2.0901366265503323,2.0901366265503323
10,-10.426237144757918,5.086580770674616,-2.062114485600575,1.7004352953989126,1.7004352953989126
11,-10.447961880812317,5.0415912150896505,-1.985459299479751,1.381297433199393,1.381297433199393
12,-10.466868767449252,4.994275263246314,-1.9218839692741656,1.1262855118387252,1.1262855118387252
13,-10.483218103376498,4.945331527294034,-1.8692610409022876,0.9233878745662302,0.9233878745662302
14,-10.497270187301803,4.895458619382231,-1.8258505927346582,0.7601281245977518,0.7601281245977518
15,-10.509285282856151,4.845354896455917,-1.7896957194385597,0.6473560262581228,0.6473560262581228
16,-10.51949886053587,4.795538330741654,-1.7577920877994533,0.6060196501353792,0.6060196501353792
17,-10.528078128972965,4.74603024902961,-1.728231361868182,0.5686216735953392,0.5686216735953392
18,-10.535178650206767,4.6967672422597255,-1.701002079754428,0.52379279426946,0.52379279426946
19,-10.540955986276584,4.6476859013719345,-1.6763448884718177,0.47261176099256647,0.47261176099256647
20,-10.545565699221742,4.598722817306178,-1.6544593109703043,0.41626319407365925,0.41626319407365925
21,-10.549163351081557,4.549814581002389,-1.6355032338743627,0.355963625825953,0.355963625825953
22,-10.55190450389535,4.500897783400509,-1.6195940925217893,0.29290200966340535,0.29290200966340535
23,-10.55394471970244,4.451909015440472,-1.6068112397395058,0.22819792057568272,0.22819792057568272
24,-10.55543956054215,4.40278486806222,-1.5971989840881475,0.16287736545892126,0.16287736545892126
25,-10.556544588453791,4.3534619322056844,-1.5907698456291783,0.0978637533035595,0.0978637533035595
26,-10.557415365476691,4.303876798810807,-1.5875076771370968,0.03398025455430138,0.03398025455430138
27,-10.55820745365016,4.253966058817524,-1.587370413435195,-0.028040642572658557,0.028040642572658557
28,-10.559076415013527,4.203666303165772,-1.590292324465062,-0.0875443515498699,0.0875443515498699
29,-10.560177811606101,4.152914122795488,-1.5961857484464548,-0.14394155494293512,0.14394155494293512
30,-10.561667205467213,4.101646108646612,-1.6048015261345876,-0.19130069670986496,0.19130069670986496
