moved_keypoint_id,corner_id,role,turn_direction,turn_sign,center_index,x,y,center_x,center_y,center_yaw,lateral_sign,available_to_limit_m,safety_margin_m,move_dist_m
0,0,entrance_outside,left,1,83,1.7922278967581267,-0.5596488218129099,1.7879160101334677,-0.2996845788221936,0.016584939624684995,-1,0.5200000000000001,0.26,0.2600000000000001
1,0,apex_inside,left,1,99,2.6267892757277074,-0.04769397523414187,2.628260631160934,-0.32769010933814907,0.005254865017213137,1,0.5400000000000001,0.26,0.28000000000000014
2,0,exit_outside,left,1,120,3.894383671623035,-0.011340932472204301,3.5001547374491784,0.056360968979269926,1.4007228627756454,-1,0.6600000000000003,0.26,0.40000000000000024
3,1,entrance_outside,left,1,134,3.9769096158702952,0.777036348879251,3.5376577342670696,0.8026836588361662,1.51247392764471,-1,0.7000000000000003,0.26,0.4400000000000003
4,1,apex_inside,left,1,159,2.8497508503544657,0.9299161668464133,2.793347465895942,1.3864450905978272,-3.0186672537035393,1,0.7200000000000003,0.26,0.4600000000000003
5,1,exit_outside,left,1,176,1.8330579362853285,1.4586689891801627,2.0361999137162643,1.0683699538169564,-2.661697344908333,-1,0.7000000000000003,0.26,0.4400000000000003
6,2,entrance_outside,left,1,217,0.16349073628423136,1.6907123274159503,0.15496450023768293,1.4108421730606162,3.1111371026581747,-1,0.5400000000000001,0.26,0.28000000000000014
7,2,apex_inside,left,1,23,-0.5105426552778509,0.6400398837848731,-0.7687347845649154,0.6094322969114878,-1.4528012247958813,1,0.5200000000000001,0.26,0.2600000000000001
8,2,exit_outside,left,1,49,0.060222966931312454,-0.41380685138116524,0.08189856019895128,-0.2149848992317712,-0.10859125967958853,-1,0.46000000000000013,0.26,0.20000000000000012
