index,x,y,yaw,curvature,curvature_abs,offset_m,raceline_deviation_m,nudge_weight
0,-9.977582031613858,5.230114213115154,-2.347816074022794,0.7881858462905659,0.7881858462905659,0.14363720544437358,0.14363720544437356,0.7160314764463402
1,-9.997991546237344,5.2088724414842495,-2.3248002120491975,0.7743945350649696,0.7743945350649696,0.15112035629099724,0.15112340576741484,0.7259723084300513
2,-10.017927032533347,5.187153014635483,-2.3021698743830026,0.7607866502691429,0.7607866502691429,0.15876325789994108,0.15877599582695598,0.7357857386285602
3,-10.037386349470065,5.164973333679006,-2.279925413136962,0.7469742042653587,0.7469742042653587,0.1665566661277115,0.1665865635300059,0.7454666150768632
4,-10.056367991756227,5.142350839239075,-2.258062183359478,0.7337001759224271,0.7337001759224271,0.1744909163641693,0.17454633384097035,0.7550098614382196
5,-10.074870600373451,5.119302596612075,-2.236510124217936,0.7246598941262441,0.7246598941262441,0.18255648748215625,0.18264677094617238,0.7644104882568601
6,-10.092890429912138,5.095843286984707,-2.2151611832653013,0.7187226930708737,0.7187226930708737,0.19074636802513006,0.1908822333696672,0.773663613799083
7,-10.110422178805702,5.071985692804553,-2.194001328230545,0.710658588829527,0.710658588829527,0.19905289480624705,0.19924685705576858,0.7827645440545945
8,-10.127462477273413,5.0477436227972365,-2.1730707891825047,0.7020250031228998,0.7020250031228998,0.20746541041062497,0.20773182349901462,0.7917087784214873
9,-10.144008780357185,5.023131105928156,-2.1523455084144514,0.6956063502304578,0.6956063502304578,0.2159725830001386,0.21632768089277632,0.8004919962812485
10,-10.160057350086362,4.998160989043729,-2.131752566731052,0.6919131603243867,0.6919131603243867,0.224564499199365,0.2250266584430104,0.8091100613821629
11,-10.17560273021022,4.972844884540685,-2.111263713893263,0.6874258271065357,0.6874258271065357,0.23323207010946126,0.2338223958050832,0.8175589830112712
12,-10.190640250210253,4.947195021019542,-2.090898756265972,0.6824257010785864,0.6824257010785864,0.2419635109011691,0.2427061812725161,0.8258348893632947
13,-10.205165994740836,4.921223833941063,-2.070548248279043,0.6853140617068241,0.6853140617068241,0.25074631675516806,0.2516685266248467,0.833934134321199
