corner_id,role,progress_m,raceline_index,turn_direction,rule_target_speed_mps,model_target_speed_mps,rule_executed_speed_index,model_executed_speed_index,model_correction_action,model_delta_speed_mps,model_speed_index_correction,delta_target_speed_mps
0,entrance,227.76450828902787,106,left,3.352095537113215,3.27769776150877,0.5185628249296754,0.5050359566379582,-0.08877763152122498,-0.07439777560444494,-0.01352686829171726,-0.07439777560444494
0,apex,228.78452847894184,140,left,2.6278863368428453,2.500000683568847,0.38688842488051733,0.3636364879216085,-0.19465933740139008,-0.12788565327399862,-0.02325193695890884,-0.12788565327399848
0,exit,230.8845700464118,210,left,2.1945677406139277,2.0445256848006665,0.30810322556616865,0.2808228517819394,-0.27347901463508606,-0.15004205581326102,-0.027280373784229275,-0.15004205581326113
1,entrance,270.7553592345201,1539,left,3.9403190018085335,4.067116626530648,0.6255125457833697,0.6485666593692088,0.09649035334587097,0.126797624722115,0.02305411358583909,0.12679762472211475
1,apex,273.425412084589,1628,left,3.953009872791631,4.080847949778578,0.6278199768712057,0.6510632635961051,0.09696979820728302,0.12783807698694666,0.023243286724899392,0.1278380769869467
1,exit,275.495453058238,1697,left,3.963001503588949,4.092215291008745,0.6296366370161726,0.6531300529106808,0.09788021445274353,0.12935969924812232,0.02351994531784042,0.1292137874197956
2,entrance,308.8861139810104,2810,left,3.1459508043469024,3.0917359686187087,0.48108196442670953,0.47122472156703793,-0.06893284618854523,-0.05421483572819379,-0.009857242859671598,-0.054214835728193744
2,apex,311.0761573299433,2883,left,3.900923267629892,3.9987470428018073,0.6183496850236168,0.636135825963965,0.07550886273384094,0.09822377924529695,0.017858868953690352,0.0978237751719151
2,exit,312.7561905839193,2939,left,3.9233980738633902,4.044885356009152,0.6224360134297073,0.6445246101834822,0.09251990914344788,0.12107082641845296,0.02201287753062781,0.12148728214576154
3,entrance,318.09629628405725,3117,left,3.9919077213568968,4.12543361156628,0.6348923129739812,0.6591697475575056,0.10064172744750977,0.13396956358399467,0.024358102469817212,0.13352589020938366
3,apex,321.93637229314515,3245,left,3.9741207438469757,4.105999232803558,0.6316583170630865,0.6556362241461016,0.09950320422649384,0.13187848895658305,0.0239779070830151,0.13187848895658272
3,exit,323.43640198419513,3295,left,3.9812517026664636,4.114276879140687,0.632954855030266,0.6571412507528521,0.10029739141464233,0.13316493032260493,0.024211805513200898,0.13302517647422318
4,entrance,10.140200711497815,4247,right,3.9816028974696467,4.111758582516589,0.6330187086308449,0.6566833786393798,0.09801879525184631,0.130155685046942,0.023664670008534908,0.13015568504694208
4,apex,15.720311162203714,4433,right,3.760276306246546,3.853559520032038,0.5927775102266447,0.6097380945512797,0.07438543438911438,0.09328321378549183,0.01696058432463488,0.09328321378549198
4,exit,18.87037351340866,4538,right,3.6394759253369475,3.7031858283782597,0.5708138046067177,0.5823974233415018,0.05248947814106941,0.06370990304131202,0.011583618734784003,0.06370990304131219
5,entrance,24.000475056799566,4709,right,3.010970544669501,2.949037823051988,0.4565400990308184,0.44527960419127055,-0.08227609097957611,-0.061932721617512926,-0.011260494839547804,-0.061932721617512954
5,apex,30.24059857156745,4917,right,3.365626545306755,3.341876144875947,0.5210230082375918,0.5167047536138085,-0.02822701819241047,-0.023750400430808342,-0.0043182546237833346,-0.023750400430808227
5,exit,34.56068408179137,5061,right,3.934419725475893,4.04531000110839,0.624439950086526,0.6446018183833435,0.08259308338165283,0.10844026321006811,0.019716411492739658,0.11089027563249676
6,entrance,51.15101246480407,5614,left,3.9187560205215783,4.035232567462912,0.621592003731196,0.6427695577205295,0.08912394940853119,0.11647654694133362,0.021177553989333384,0.11647654694133358
6,apex,54.30107481600901,5719,left,3.9917006981174685,4.126661726504175,0.6348546723849943,0.6593930411825774,0.10135094821453094,0.13492293171098577,0.02453144212927014,0.13496102838670687
6,exit,55.741103319416986,5767,left,3.993538599473678,4.132966877393877,0.6351888362679414,0.6605394322534323,0.10465815663337708,0.13938979855091135,0.025343599736529335,0.1394282779201994
