progress_m,progress_idx_est,rule_target_speed_mps,rule_actual_speed_mps,rule_requested_speed_index,rule_executed_speed_index,rule_rule_speed_mps,rule_rule_speed_index,rule_delta_speed_mps,rule_speed_index_correction,rule_correction_action,rule_cte,rule_heading_error,rule_curv_short_abs,rule_curv_mid_abs,rule_curv_long_abs,rule_upcoming_curvature_abs,rule_reward,model_target_speed_mps,model_actual_speed_mps,model_requested_speed_index,model_executed_speed_index,model_rule_speed_mps,model_rule_speed_index,model_delta_speed_mps,model_speed_index_correction,model_correction_action,model_cte,model_heading_error,model_curv_short_abs,model_curv_mid_abs,model_curv_long_abs,model_upcoming_curvature_abs,model_reward,delta_target_speed_mps,delta_executed_speed_index,delta_requested_speed_index
0.0,0.0,0.6999999999999998,0.03978141291291835,0.6353560196191466,0.036363636363636355,3.9944581079053063,0.6353560196191466,0.0,0.0,0.0,0.6154748598734537,-0.2663012345631917,0.0006453184760175645,0.0008525637676939368,0.0011284411884844303,0.0008525637676939368,-0.5829592592276313,0.6999999999999998,0.03978141291291835,0.6535746962627381,0.036363636363636355,3.9944581079053063,0.6353560196191466,0.10020272153975339,0.018218676643591527,0.07521869738896687,0.6154748598734537,-0.2663012345631917,0.0006453184760175645,0.0008525637676939368,0.0011284411884844303,0.0008525637676939368,-0.5861320773521739,0.0,0.0,0.018218676643591558
0.029855777895059925,0.9951728980164998,1.346862383710725,0.33270761875324656,0.6353470421464906,0.15397497885649547,3.9944087318056987,0.6353470421464906,0.0,0.0,0.0,0.6119162258544357,-0.2731866198812853,0.0006521971541977059,0.000859434104431208,0.0011352971594034253,0.000859434104431208,-0.5669174047263558,1.346862383710725,0.33270761875324656,0.6543272251167913,0.15397497885649547,3.9944087318056987,0.6353470421464906,0.10439100633665292,0.018980182970300533,0.07836367295363238,0.6119162258544357,-0.2731866198812853,0.0006521971541977059,0.000859434104431208,0.0011352971594034253,0.000859434104431208,-0.5670511320865547,0.0,0.0,0.018980182970300685
0.05971155579011985,1.9903457960329995,2.0432420572231003,0.7391339882876092,0.635338561491295,0.2805894649496546,3.9943620882021222,0.635338561491295,0.0,0.0,0.0,0.6004404742476688,-0.29518829859964507,0.0006590756017949981,0.0008663041529399178,0.0011421527844481464,0.0008663041529399178,-0.54090080926938,2.0432420572231003,0.7391339882876092,0.6556819113685902,0.2805894649496546,3.9943620882021222,0.635338561491295,0.11188842432512457,0.020343349877295375,0.0839927708012442,0.6004404742476688,-0.29518829859964507,0.0006590756017949981,0.0008663041529399178,0.0011421527844481464,0.0008663041529399178,-0.5409745645971491,0.0,0.0,0.020343349877295247
0.08956733368517977,2.9855186940494995,2.3949315429173255,0.9800635013680453,0.6353294252522454,0.3445330078031501,3.9943118388873504,0.6353294252522454,0.0,0.0,0.0,0.5891172448851592,-0.31000815712115587,0.0006659538188094412,0.0008731738558553283,0.001149007948889118,0.0008731738558553283,-0.5230240380119499,2.3949315429173255,0.9800635013680453,0.6560989705050465,0.3445330078031501,3.9943118388873504,0.6353294252522454,0.11423249889040592,0.020769545252801076,0.08575350588113358,0.5891172448851592,-0.31000815712115587,0.0006659538188094412,0.0008731738558553283,0.001149007948889118,0.0008731738558553283,-0.5230795325383903,0.0,0.0,0.020769545252801058
0.1194231115802397,3.980691592065999,2.694207477619801,1.1995312968366427,0.6353194641199424,0.39894681411269106,3.9942570526596834,0.6353194641199424,0.0,0.0,0.0,0.5769118035588044,-0.32247253272275483,0.0006728317481572714,0.0008800432699802287,0.0011558626521643914,0.0008800432699802287,-0.5162080300540295,2.694207477619801,1.1995312968366427,0.6564170135635777,0.39894681411269106,3.9942570526596834,0.6353194641199424,0.11603652193999431,0.021097549443635327,0.0871089674311394,0.5769118035588044,-0.32247253272275483,0.0006728317481572714,0.0008800432699802287,0.0011558626521643914,0.0008800432699802287,-0.5162591876867364,0.0,0.0,0.02109754944363529
0.14927888947529963,4.9758644900824995,2.9439661225206257,1.3908179096659778,0.6353111213594846,0.444357476821932,3.9942111674771654,0.6353111213594846,0.0,0.0,0.0,0.5649615984080262,-0.3323073507324807,0.0006797094460793296,0.0008869123390737783,0.0011627168942739663,0.0008869123390737783,-0.48472194078083064,2.9439661225206257,1.3908179096659778,0.6566624265932577,0.444357476821932,3.9942111674771654,0.6353111213594846,0.11743217878575227,0.02135130523377314,0.08815770326704825,0.5649615984080262,-0.3323073507324807,0.0006797094460793296,0.0008869123390737783,0.0011627168942739663,0.0008869123390737783,-0.48476870010238693,0.0,0.0,0.021351305233773044
0.17913466737035955,5.971037388098999,3.144207477619801,1.5492194768627299,0.6353011896535419,0.48076499593087296,3.99415654309448,0.6353011896535419,0.0,0.0,0.0,0.5541079494907958,-0.33947614910352725,0.0006865869134185387,0.0008937810622930542,0.0011695709013051032,0.0008937810622930542,-0.47723888820546867,3.144207477619801,1.5492194768627299,0.6568603866260339,0.48076499593087296,3.99415654309448,0.6353011896535419,0.11857558334870585,0.02155919697249197,0.08901728777947585,0.5541079494907958,-0.33947614910352725,0.0006865869134185387,0.0008937810622930542,0.0011695709013051032,0.0008937810622930542,-0.47728886207468646,0.0,0.0,0.02155919697249198
0.2089904452654195,6.9662102861154995,3.3432420572231014,1.7105523737944328,0.6352912183017051,0.5169531013132912,3.9941017006593778,0.6352912183017051,0.0,0.0,0.0,0.5422250104066634,-0.3455056924727981,0.000693464093934058,0.0009006495521197378,0.0011764243403083467,0.0009006495521197378,-0.46925178741611584,3.3432420572231014,1.7105523737944328,0.6570610364234802,0.5169531013132912,3.9941017006593778,0.6352912183017051,0.11973399966976381,0.021769818121775236,0.08988817085783189,0.5422250104066634,-0.3455056924727981,0.000693464093934058,0.0009006495521197378,0.0011764243403083467,0.0009006495521197378,-0.4693054172678764,0.0,0.0,0.021769818121775142
0.2388462231604794,7.961383184131998,3.542276636826401,1.8753685287907031,0.6352812476178114,0.5531412066957094,3.994046861897962,0.6352812476178114,0.0,0.0,0.0,0.5292497280869376,-0.3503752987291052,0.0007003410421808822,0.0009075176434839733,0.0011832774266939332,0.0009075176434839733,-0.4601016968180865,3.542276636826401,1.8753685287907031,0.6572809199617988,0.5531412066957094,3.994046861897962,0.6352812476178114,0.12099819789193121,0.021999672343987493,0.09083849250255435,0.5292497280869376,-0.3503752987291052,0.0007003410421808822,0.0009075176434839733,0.0011832774266939332,0.0009075176434839733,-0.46015768758805803,0.0,0.0,0.021999672343987475
0.2687020010555393,8.956556082148499,3.693483412322277,2.0025941084187213,0.6352760689973995,0.5806333476949593,3.9940183794856976,0.6352760689973995,0.0,0.0,0.0,0.5187219449835366,-0.3531491013499798,0.0007072177041659652,0.0009143854426860068,0.0011901300558474616,0.0009143854426860068,-0.3806402567596643,3.693483412322277,2.0025941084187213,0.6574782693920459,0.5806333476949593,3.9940183794856976,0.6352760689973995,0.12211210217055483,0.022202200394646335,0.09167539965108296,0.5187219449835366,-0.3531491013499798,0.0007072177041659652,0.0009143854426860068,0.0011901300558474616,0.0009143854426860068,-0.38070817761681564,0.0,0.0,0.022202200394646376
