policy,step,nearest_idx,start_centerline_idx,cumulative_progress_idx,cumulative_progress_m,lap_progress_ratio,x,y,yaw,actual_speed_mps,actual_speed_mps_obs,actual_speed_index,rule_speed_mps_obs,cte,heading_error,curv_short_abs,curv_mid_abs,curv_long_abs,upcoming_curvature_abs,previous_delta_speed_mps_obs,correction_action,raw_delta_speed_mps,raw_assist_ratio,assist_ratio,assist_gain,rl_gate_enabled,rl_gate_scale,rl_gate_good_count,rl_gate_bad_count,delta_speed_mps,rule_speed_mps,rule_speed_index,speed_index_correction,requested_speed_mps,requested_speed_index,executed_speed_index,target_speed_mps,steering_rad,reward,reward_progress,reward_lap,reward_early_finish,penalty_tracking,penalty_curvature_speed_section,penalty_target_speed_smoothness,penalty_residual_smoothness,penalty_residual_excess,residual_excess_mps,penalty_time,penalty_crash,penalty_timeout,reward_curvature_section_abs,lap_completed,crashed,timeout
model,0,3909,3909,0.0,0.0,0.0,2.8530001133680345e-05,0.0,0.0,0.005706000226736068,-0.08987163752317429,0.018181818181818177,0.9984166026115417,0.615563690662384,-0.266291081905365,0.0006453184760175645,0.0008525637676939368,0.0011284411884844303,0.0008525637676939368,0.0,0.07666178047657013,0.10212512724212927,0.02556670378893614,0.02556670378893614,0.5,True,1.0,0,0,0.10212512724212927,3.9944581079053063,0.6353560196191466,0.01856820495311441,4.096583235147436,0.6539242245722611,0.018181818181818177,0.6,-0.3595378259108319,-0.591975014099568,0.0,0.0,0.0,0.5590237230062485,2.9447671918801653e-06,0.003999999999999999,0.0,0.0,0.0,0.02,0.0,0.0,0.0008179908866333793,False,False,False
model,1,3909,3909,0.0,0.0,0.0,0.00025065839901293365,0.0,0.0,0.0387196793491146,-0.08386915177106857,0.036363636363636355,0.9984166026115417,0.6155052185058594,-0.266291081905365,0.0006453184760175645,0.0008525637676939368,0.0011284411884844303,0.0008525637676939368,0.0255667045712471,0.07684676349163055,0.1023715526947243,0.025628395624458792,0.025628395624458792,0.5,True,1.0,0,0,0.1023715526947243,3.9944581079053063,0.6353560196191466,0.01861300958085896,4.09682966060003,0.6539690292000055,0.036363636363636355,0.7,-0.3595378259108319,-0.5830025455788062,0.0,0.0,0.0,0.5589769452810287,4.008155344503558e-06,0.003999999999999999,0.0,0.0,0.0,0.02,0.0,0.0,0.0008179908866333793,False,False,False
model,2,3909,3909,0.0,0.0,0.0,0.0008188495915077475,-6.045513962482458e-09,6.283154846113004,0.07491855916290437,-0.07728753238916397,0.054545454545454536,0.9984166026115417,0.6153556704521179,-0.2663215398788452,0.0006453184760175645,0.0008525637676939368,0.0011284411884844303,0.0008525637676939368,0.02562839537858963,0.07214754819869995,0.0961114846824066,0.024061207324266434,0.024061207324266434,0.5,True,1.0,0,0,0.0961114846824066,3.9944581079053063,0.6353560196191466,0.0174748153968012,4.090569592587713,0.6528308350159477,0.054545454545454536,0.7999999999999999,-0.3595378259108319,-0.5834186723781475,0.0,0.0,0.0,0.5588649213314056,5.235141674453627e-06,0.003999999999999999,0.0,0.0,0.0,0.02,0.0,0.0,0.0008179908866333793,False,False,False
model,3,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.0017641982850312063,-9.411863784038065e-08,6.283014130754889,0.11415118054102791,-0.0701543316245079,0.07272727272727271,0.998400866985321,0.6151068210601807,-0.2664448618888855,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.024061206728219986,0.07327623665332794,0.0976150690151607,0.02443762492388487,0.02443762492388487,0.5,True,1.0,0,0,0.0976150690151607,3.9944581079053063,0.6353560196191466,0.017748194366392855,4.092073176920467,0.6531042139855394,0.07272727272727271,0.8999999999999999,-0.3595378259108319,-0.43283213103052115,0.15000296910499727,0.0,0.0,0.5586966723203659,6.681655286057819e-06,0.003999999999999999,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,4,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.0031163205687392854,-5.349837930515804e-07,6.282682389298086,0.15627329190630201,-0.06249576434493065,0.09090909090909088,0.998400866985321,0.6147506237030029,-0.2667766213417053,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.02443762496113777,0.07482191920280457,0.0996727771470761,0.024953110054135325,0.024953110054135325,0.5,True,1.0,0,0,0.0996727771470761,3.9944029794617903,0.63534599626578,0.0181223231176502,4.094075756608866,0.6534683193834302,0.09090909090909088,0.9999999999999999,-0.3595378259108319,-0.5826833230505596,0.0,0.0,0.0,0.5584946542978286,8.248957143281257e-06,0.003999999999999999,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,5,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.004903423925072913,-1.9548658173337823e-06,6.28206995428217,0.2011474980098377,-0.05433681979775429,0.10909090909090907,0.998400866985321,0.6142789721488953,-0.2673890292644501,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.02495311014354229,0.07595723867416382,0.1011851741273354,0.025331739097833636,0.025331739097833636,0.5,True,1.0,0,0,0.1011851741273354,3.9944029794617903,0.63534599626578,0.018397304386788254,4.095588153589126,0.6537433006525682,0.10909090909090907,1.0999999999999999,-0.33919036497281996,-0.5824129364386665,0.0,0.0,0.0,0.5582704350352288,9.981238143370322e-06,0.003999999999999999,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,6,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.007152373151773456,-5.536556575454506e-06,6.281078349217177,0.2486429367468306,-0.0457012839615345,0.12727272727272726,0.998400866985321,0.6136837601661682,-0.26838064193725586,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.025331739336252213,0.07706166803836823,0.10265642136432028,0.025700066290795805,0.025700066290795805,0.5,True,1.0,0,0,0.10265642136432028,3.9944029794617903,0.63534599626578,0.01866480388442187,4.097059400826111,0.654010800150202,0.12727272727272726,1.2,-0.31924241923934066,-0.5821829616330716,0.0,0.0,0.0,0.5580421686172485,1.1878498286325015e-05,0.0040000000000000036,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,7,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.00988875148998793,-1.3261881992066413e-05,6.279600281575998,0.2986349628371581,-0.03661182522773743,0.14545454545454548,0.998400866985321,0.6129562258720398,-0.269858717918396,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.02570006623864174,0.0781695693731308,0.10413229372922748,0.026069551385939124,0.026069551385939124,0.5,True,1.0,0,0,0.10413229372922748,3.9944029794617903,0.63534599626578,0.018933144314404998,4.098535273191017,0.654279140580185,0.14545454545454548,1.3,-0.300234834478417,-0.581972920698103,0.0,0.0,0.0,0.5578296601772308,1.3940737572145331e-05,0.0040000000000000036,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,8,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.013136915718463857,-2.8196997685515446e-05,6.277519541236426,0.3510048692205709,-0.027090024203062057,0.16363636363636366,0.998400866985321,0.6120871305465698,-0.2719394564628601,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.026069551706314087,0.07922250032424927,0.10553493821042058,0.02642070385813713,0.02642070385813713,0.5,True,1.0,0,0,0.10553493821042058,3.9944029794617903,0.63534599626578,0.019188170583712832,4.099937917672211,0.6545341668494928,0.16363636363636366,1.4000000000000001,-0.28207421529561033,-0.581793639874241,0.0,0.0,0.0,0.5576545685529709,1.6167956000831273e-05,0.0040000000000000036,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
model,9,3910,3909,1.0,0.030000593820999455,8.775778850372971e-05,0.016920043051794877,-5.482210589395926e-05,6.2747108017932645,0.4056395876891327,-0.017156438902020454,0.18181818181818185,0.998400866985321,0.6110659241676331,-0.27474820613861084,0.000652230519335717,0.0008594674291089177,0.0011353304143995047,0.0008594674291089177,0.026420703157782555,0.08018605411052704,0.10681852038569958,0.02674204904586077,0.02674204904586077,0.5,True,1.0,0,0,0.10681852038569958,3.9944029794617903,0.63534599626578,0.019421549161036288,4.10122149984749,0.6547675454268164,0.18181818181818185,1.5000000000000002,-0.2478012907139099,-0.5816708218380349,0.0,0.0,0.0,0.5575397908687592,1.8560153572382843e-05,0.0040000000000000036,0.0,0.0,0.0,0.02,0.0,0.0,0.000824895714328126,False,False,False
