index,x,y
0,-12.059850917851916,9.2340595347471
1,-12.06132428399942,9.212183663205334
2,-12.062967807870145,9.1904338840676
3,-12.064783491875712,9.16881266011808
4,-12.066773342086183,9.147322460837069
5,-12.068939366046829,9.125965759336985
6,-12.071283570594945,9.104745029298423
7,-12.073807959676618,9.083662741906199
8,-12.076514532163545,9.062721362785386
9,-12.079405279669793,9.041923348937342
10,-12.082482184368612,9.02127114567577
11,-12.085747216809187,9.000767183562727
12,-12.089202333733489,8.980413875344707
13,-12.092849475893011,8.960213612888637
14,-12.09669056586557,8.940168764117939
15,-12.100727505872118,8.920281669948569
16,-12.104962175593494,8.900554641225037
17,-12.109396429987271,8.880989955656494
18,-12.114032097104467,8.861589854752697
19,-12.118870975906413,8.842356540760122
20,-12.123914834081479,8.823292173597956
21,-12.129165405861915,8.804398867794157
22,-12.134624389840607,8.785678689421488
23,-12.140293446787872,8.76713365303355
24,-12.14617419746825,8.74876571860083
25,-12.152268220457309,8.730576788446742
26,-12.158577049958419,8.712568704183665
27,-12.16510217361953,8.694743243648965
28,-12.171845030349978,8.677102117841057
29,-12.178807008137282,8.659646967855435
30,-12.185989441863919,8.642379361820721
31,-12.193393611124117,8.62530079183468
32,-12.20102073804064,8.608412670900284
33,-12.208871985081581,8.591716329861734
34,-12.21694845287717,8.575213014340521
35,-12.225251178036524,8.558903881671437
36,-12.233781130964479,8.542789997838637
37,-12.242539213678336,8.526872334411662
38,-12.251526257624704,8.511151765481502
39,-12.260743021496241,8.49562906459661
40,-12.270190189048458,8.48030490169894
41,-12.279868366916526,8.46517984006002
42,-12.289778082432042,8.450254333216947
43,-12.299919781439838,8.435528721908465
44,-12.310293826114746,8.421003231010973
45,-12.320900492778419,8.406677966474588
46,-12.33173996971609,8.392552912259164
47,-12.342812354993397,8.378627927270362
48,-12.354117654273121,8.364902742295643
49,-12.365655778632032,8.351376956940358
50,-12.377426542377634,8.338050036563743
51,-12.389429660864987,8.32492130921499
52,-12.401664748313474,8.31198996256927
53,-12.4141313156236,8.299255040863777
54,-12.426828768193776,8.286715441833765
55,-12.43975640373712,8.274369913648593
56,-12.452913410098237,8.262217051847763
57,-12.466298863070016,8.25025529627695
58,-12.4799117242104,8.238482928024048
59,-12.493750838659189,8.226898066355208
60,-12.507814932968346,8.215498665671685
61,-12.522102613635102,8.204282513550524
62,-12.536612368289866,8.19324723287889
63,-12.551342568417747,8.182390286353295
64,-12.566291472184822,8.171708981140396
65,-12.581457227264517,8.161200473537875
66,-12.596837873663858,8.150861773635244
67,-12.612431346549867,8.140689749974698
68,-12.628235479075814,8.130681134211956
69,-12.644248005207592,8.1208325257771
70,-12.660466562550015,8.111140396535426
71,-12.676888695173135,8.101601095448256
72,-12.693511856438574,8.092210853233807
73,-12.710333411825857,8.082965787028023
74,-12.727350641758697,8.073861905045412
75,-12.744560744431368,8.064895111239887
76,-12.761960838634966,8.0560612099656
77,-12.779547966583785,8.047355910637801
78,-12.797319096741615,8.038774832393658
79,-12.815271126648069,8.030313508753114
80,-12.833400885744883,8.021967392279715
81,-12.85170513820227,8.013731859241444
82,-12.870180585745237,8.005602214271601
83,-12.888823870479886,7.9975736950295895
84,-12.90763157771974,7.989641476861786
85,-12.926600238812084,7.981800677462382
86,-12.945726333964279,7.974046361534221
87,-12.965006295070072,7.966373545449627
88,-12.98443650853592,7.958777201911258
89,-13.004013318107335,7.951252264612953
90,-13.02373302769516,7.94379363290054
91,-13.043591904201953,7.936396176432726
92,-13.063586180348246,7.929054739841886
93,-13.083712057498916,7.921764147394946
94,-13.103965708489461,7.914519207654182
95,-13.12434328045238,7.907314718138111
96,-13.144840897643427,7.900145469982278
97,-13.165454664267997,7.893006252600144
98,-13.186180667307386,7.885891858343875
99,-13.20701497934519,7.8787970871652515
100,-13.227953661393528,7.871716751276425
101,-13.248992765719454,7.864645679810836
102,-13.270128338671228,7.857578723484002
103,-13.291356423504661,7.850510759254387
104,-13.312673063209415,7.843436694984223
105,-13.334074303335345,7.836351474100361
106,-13.355556194818814,7.829250080255113
107,-13.377114796808996,7.822127541987078
108,-13.398746179494252,7.814978937382013
109,-13.420446426928374,7.807799398733626
110,-13.442211639856977,7.800584117204464
111,-13.464037938543768,7.793328347486723
112,-13.485921465596919,7.786027412463101
113,-13.50785838879534,7.778676707867638
114,-13.52984490390676,7.771271706931948
115,-13.551877237089052,7.763807964295211
116,-13.573951645744538,7.756281117180967
117,-13.596064418494738,7.748686885020012
118,-13.618211875096414,7.741021068969505
119,-13.640390366357543,7.733279551432036
120,-13.662596274053362,7.725458295574732
121,-13.684826010842384,7.71755334484836
122,-13.707076020182356,7.709560822506371
123,-13.729342776246357,7.701476931124042
124,-13.751622783838693,7.693297952117514
125,-13.773912578311041,7.685020245262933
126,-13.796208725478364,7.676640248215496
127,-13.81850782153495,7.668154476028565
128,-13.84080649297043,7.65955952067274
129,-13.86310139648578,7.650852050554966
130,-13.88538921890936,7.642028810037606
131,-13.907666677112864,7.633086618957532
132,-13.929930517927414,7.624022372145235
133,-13.952177518059473,7.614833038943872
134,-13.974404484006971,7.6055156627284095
135,-13.996608251975198,7.596067360424654
136,-14.018785687792937,7.586485322028404
137,-14.040933686828327,7.576766810124464
138,-14.06304917390505,7.566909159405821
139,-14.085129103218183,7.55690977619265
140,-14.107170458250302,7.546766137951458
141,-14.129170251687466,7.536475792814158
142,-14.151125525335232,7.526036359097149
143,-14.173033350034657,7.515445524820414
144,-14.194890825578332,7.504701047226611
145,-14.216695080626367,7.493800752300154
146,-14.238443272622398,7.482742534286298
147,-14.260132587709663,7.471524355210265
148,-14.281760240646898,7.460144244396266
149,-14.303323474724477,7.448600297986662
150,-14.324819561680297,7.43689067846099
151,-14.346245801615924,7.4250136141551115
152,-14.367599522912471,7.412967398780249
153,-14.3888780821467,7.400750390942105
154,-14.410078864006994,7.388361013659944
155,-14.431199281209404,7.375797753885683
156,-14.452236774413604,7.363059162022981
157,-14.473188812138934,7.3501438514463135
158,-14.494052890680454,7.337050498020097
159,-14.514826534024834,7.323777839617723
160,-14.535507293766528,7.31032467564071
161,-14.556092749023641,7.296689866537746
162,-14.576580506354018,7.282872333323795
163,-14.596968199671238,7.268871057099182
164,-14.617253490160635,7.2546850785686985
165,-14.637434066195281,7.240313497560662
166,-14.657507643252007,7.225755472546019
167,-14.677471963827454,7.211010220157448
168,-14.697324797354028,7.1960770147084325
169,-14.717063940115938,7.1809551877123505
170,-14.736687215165206,7.165644127401564
171,-14.756192472237686,7.1501432782465235
172,-14.775577587669039,7.1344521404748225
173,-14.794840464310814,7.118570269590337
174,-14.813979031446378,7.102497275892259
175,-14.832991244706992,7.0862328239942345
176,-14.851875085987773,7.069776632343412
177,-14.870628563363748,7.053128472739565
178,-14.889249711005835,7.036288169854156
179,-14.907736589096876,7.0192556007494495
180,-14.92608728374762,7.00203069439757
181,-14.944299906912768,6.984613431199623
182,-14.962372596306952,6.9670038425047585
183,-14.980303515320774,6.949202010129277
184,-14.99809085293681,6.931208065875717
185,-15.015732823645596,6.9130221910519305
186,-15.033227667361684,6.894644615990189
187,-15.0505736493396,6.876075619566258
188,-15.067769060089924,6.857315528718506
189,-15.084812215295216,6.838364717966958
190,-15.101701455726108,6.819223608932429
191,-15.118435147157273,6.799892669855584
192,-15.135011680283423,6.780372415116032
193,-15.151429470635366,6.7606634047514165
194,-15.167686958495972,6.740766243976506
195,-15.183782608816227,6.720681582702292
196,-15.199714911131196,6.700410115055049
197,-15.215482379476075,6.679952578895464
198,-15.231083552302188,6.659309755337693
199,-15.246516992392985,6.638482468268463
200,-15.261781286780074,6.617471583866161
201,-15.276875046659226,6.596278010119922
202,-15.291796907306383,6.574902696348718
203,-15.306545527993654,6.553346632720449
204,-15.321119591905374,6.531610849771025
205,-15.335517806054046,6.509696417923464
206,-15.34973890119643,6.487604447006978
207,-15.363781631749475,6.465336085776055
208,-15.377644775706399,6.442892521429563
209,-15.391327134552657,6.420274979129826
210,-15.40482753318197,6.3974847215217165
211,-15.418144819812332,6.374523048251747
212,-15.431277865902013,6.351391295487157
213,-15.4442255660656,6.328090835435006
214,-15.456986837989964,6.304623075861258
