corner_id,turn_direction,turn_sign,entrance_index,apex_index,exit_index,num_points,approx_length_m,apex_curvature,apex_curvature_abs,entrance_x,entrance_y,apex_x,apex_y,exit_x,exit_y
0,manual,0,3,31,50,48,2.4000000000000004,-2.8101749214085285,2.8101749214085285,0.362630849491389,-0.23469993842831496,1.7717554327714773,-0.31459903432090897,1.8880802930873117,-1.19196861130632
1,manual,0,53,73,93,41,2.0500000000000003,-1.303814279168399,1.303814279168399,1.8763412927249652,-1.351651088400468,1.4899447646165351,-2.1362774554284165,0.46346516729342685,-2.0929410048610704
2,manual,0,119,139,159,41,2.0500000000000003,-1.0327740076389607,1.0327740076389607,-0.8484577323997304,-1.9824341835026809,-1.2540537139252312,-1.159439192429816,-0.6923681151238358,-0.40940353075156277
