index,x,y,yaw,curvature,curvature_abs
0,-0.2560702438683178,-0.03525322161721444,-3.045237989090572,0.17926029139640726,0.17926029139640726
1,-0.30678747983747584,-0.04038868497782368,-3.035711308353183,0.19451735508166487,0.19451735508166487
2,-0.35755945376719805,-0.046039373188278596,-3.0253172216533892,0.21244988992812527,0.21244988992812527
3,-0.4083565328819212,-0.05225218348217381,-3.0139830739667155,0.2305442605373244,0.2305442605373244
4,-0.4591490844060815,-0.05907401309310392,-3.001700560644395,0.24883188593799865,0.24883188593799865
5,-0.5099074755641153,-0.06655175925466353,-2.988460434990185,0.2673351457184851,0.2673351457184851
6,-0.5606020735804591,-0.0747323192004472,-2.974252833548751,0.2860665289112325,0.2860665289112325
7,-0.6112032456795496,-0.08366259016404962,-2.959067634589446,0.3050276325658387,0.3050276325658387
8,-0.6616813590858228,-0.0933894693790653,-2.9428948538223527,0.3242080297440615,0.3242080297440615
9,-0.7120067810237155,-0.10395985407908892,-2.9257250807169517,0.3435840369056511,0.3435840369056511
10,-0.7621498787176638,-0.11542064149771505,-2.9075499578034796,0.3631174234198099,0.3631174234198099
11,-0.8120810193921043,-0.12781872886853823,-2.8882367031659495,0.3877552033314765,0.3877552033314765
12,-0.8617537973729632,-0.14121006393769311,-2.866466732921986,0.4597285787412546,0.4597285787412546
13,-0.9109687181042971,-0.1557331999022586,-2.8402701955439666,0.5635645155956265,0.5635645155956265
14,-0.9594443470478355,-0.17157090407276152,-2.808658290998497,0.6789775828311103,0.6789775828311103
15,-1.0068984737663866,-0.18890636242814796,-2.771164594239388,0.8085169191201886,0.8085169191201886
16,-1.0530488878227597,-0.20792276094736392,-2.7272486597440957,0.9545569556026476,0.9545569556026476
17,-1.0976133787797637,-0.22880328560935556,-2.6763150619758393,1.1185756513867635,1.1185756513867635
18,-1.1403097362002075,-0.2517311223930689,-2.617758154782608,1.3003230240565649,1.3003230240565649
19,-1.1808557496468994,-0.2768894572774498,-2.551035818205782,1.496612895987246,1.496612895987246
20,-1.2189692086826494,-0.3044614762414446,-2.475780221165468,1.6998599329507982,1.6998599329507982
21,-1.2543679028702657,-0.33463036526399914,-2.3919464487127216,1.8968235484267153,1.8968235484267153
22,-1.286769621772557,-0.36757931032405955,-2.300315533580786,2.0542633488097684,2.0542633488097684
23,-1.3159138783332962,-0.40346973018610566,-2.205983108794971,2.010348941098143,2.010348941098143
24,-1.3417848788378797,-0.44221785653002843,-2.116136889598331,1.8364358371659038,1.8364358371659038
25,-1.3645210510872516,-0.4835853883315348,-2.033705635856755,1.6513126100586735,1.6513126100586735
26,-1.3842632343257992,-0.5273316082570718,-1.958773132728133,1.470155579866844,1.470155579866844
27,-1.4011522677979058,-0.5732157989730858,-1.8910460118816481,1.3015321732306406,1.3015321732306406
28,-1.4153289907479591,-0.6209972431460244,-1.8300229975986726,1.1498244000522677,1.1498244000522677
29,-1.4269342424203433,-0.670435223442334,-1.7750996844043205,1.0164583805719516,1.0164583805719516
30,-1.4361088620594447,-0.7212890225284618,-1.7256414886242806,0.9010368687946024,0.9010368687946024
31,-1.442993688909649,-0.7733179230708546,-1.6810292276255532,0.8021913130077399,0.8021913130077399
32,-1.447729562215342,-0.8262812077359593,-1.6406843424064468,0.7181463187255432,0.7181463187255432
33,-1.450457321220909,-0.8799381591902224,-1.6040579972074263,0.647896551555475,0.647896551555475
34,-1.4513153596661703,-0.9340471419171481,-1.5696199840074871,0.6274815141209679,0.6274815141209679
35,-1.4503298218182905,-0.9883243754978585,-1.5344115934729294,0.6728299226255108,0.6728299226255108
36,-1.4473702362846552,-1.0424272769949725,-1.4963152915385034,0.7369287662736659,0.7369287662736659
37,-1.4422945032009713,-1.0960088974746178,-1.4545746113779268,0.818202684930284,0.818202684930284
38,-1.4349605227029454,-1.1487222880029233,-1.4084526337010637,0.9196471899822114,0.9196471899822114
39,-1.425226194926283,-1.200220499646015,-1.357110632450575,1.0448227252690716,1.0448227252690716
40,-1.4129494200066917,-1.2501565834700226,-1.2996018943119698,1.1975767502892385,1.1975767502892385
41,-1.3979880980798765,-1.2981835905410728,-1.2348815780543452,1.38139702041498,1.38139702041498
42,-1.3802001292815456,-1.3439545719252939,-1.1618463162455892,1.5981287170208307,1.5981287170208307
43,-1.3594434137474036,-1.387122578688813,-1.079425324393405,1.8456858253650932,1.8456858253650932
44,-1.335575944749007,-1.427340806468954,-0.988149681820785,2.0513665205940006,2.0513665205940006
45,-1.3085327261501736,-1.46438199148249,-0.8934895975494854,2.056823377815451,2.056823377815451
46,-1.2784652375657481,-1.4983548969257905,-0.8016049548876355,1.9748630086748367,1.9748630086748367
47,-1.2455627155991291,-1.5294268947158876,-0.7148110416705539,1.8463635946220822,1.8463635946220822
48,-1.2100143968537138,-1.557765356769811,-0.6342655869955407,1.6875123263291223,1.6875123263291223
49,-1.1720095179328998,-1.5835376550045939,-0.5606419047472235,1.5139935678313217,1.5139935678313217
50,-1.131737315440086,-1.606911161337266,-0.49419052874636,1.3384930676171054,1.3384930676171054
51,-1.0893870259786704,-1.6280532476848601,-0.43484016651321805,1.1698005239900895,1.1698005239900895
52,-1.0451478861520511,-1.6471312859644074,-0.38230461809081545,1.0130618640937346,1.0130618640937346
53,-0.9992091325636259,-1.6643126480929398,-0.3361754424286457,0.8705761224137268,0.8705761224137268
54,-0.9517600018167927,-1.679764705987488,-0.29599259965930863,0.7426865664688419,0.7426865664688419
55,-0.90298973051495,-1.6936548315650846,-0.26129333181893566,0.6285351411499961,0.6285351411499961
56,-0.8530875552614953,-1.70615039674276,-0.23164325328772564,0.5266106126361706,0.5266106126361706
57,-0.8022427126598269,-1.7174187734375463,-0.20665449979384853,0.43510470385808403,0.43510470385808403
58,-0.7506444393133431,-1.7276273335664751,-0.1859952749427876,0.3521198525548622,0.3521198525548622
59,-0.6984819718254414,-1.7369434490465783,-0.16939416994509396,0.2757734553426208,0.2757734553426208
60,-0.6459445467995202,-1.7455344917948863,-0.1566416833242553,0.2042341695128747,0.2042341695128747
61,-0.593221400838978,-1.753567833728432,-0.14759060728006967,0.13571485372215958,0.13571485372215958
62,-0.5405017705472119,-1.7612108467642453,-0.14215640319456724,0.06843741215621879,0.06843741215621879
63,-0.487974892527621,-1.7686309028193594,-0.1403183287940843,0.0005778900160301072,0.0005778900160301072
64,-0.43583000338360234,-1.775995373810805,-0.14212185640119113,-0.06980461284273415,0.06980461284273415
65,-0.3842563397185545,-1.7834716316556136,-0.14759134338626598,-0.14127368933378423,0.14127368933378423
66,-0.33343343933856057,-1.7912189203263642,-0.1553321218461192,-0.16017710613729394,0.16017710613729394
67,-0.2833865606670636,-1.7992671920688916,-0.16274525739411422,-0.13167780891467026,0.13167780891467026
68,-0.23401733296654256,-1.8075427934013957,-0.16853190422684694,-0.09892914541903466,0.09892914541903466
69,-0.18522391116200435,-1.8159691592210736,-0.17256794085719676,-0.06359099314282933,0.06359099314282933
70,-0.13690445017845512,-1.8244697244251205,-0.17477802281499966,-0.026109896777920284,0.026109896777920284
71,-0.08895710494090295,-1.8329679239107337,-0.17510390570428214,0.0129965524104932,0.0129965524104932
72,-0.04128003037435407,-1.8413871925751082,-0.17350599689986357,0.053149067486028156,0.053149067486028156
73,0.006228618596184642,-1.849650965315441,-0.16996466461614024,0.09371842089167941,0.09371842089167941
74,0.053670687045706246,-1.8576826770289279,-0.16448126441521912,0.13403970338963608,0.13403970338963608
75,0.1011480200492039,-1.8654057626127654,-0.15707883527921954,0.1734291292430155,0.1734291292430155
76,0.14876246268167076,-1.8727436569641505,-0.1478228365788492,0.2103589777305007,0.2103589777305007
77,0.19661541671152666,-1.879621722259433,-0.13759433734653967,0.21239230479589885,0.21239230479589885
78,0.24479095602699535,-1.8860406537837215,-0.12827813131279187,0.17092267329034297,0.17092267329034297
79,0.29335059025895294,-1.8920992451257548,-0.12099088023982707,0.1270088921244923,0.1270088921244923
80,0.34235431551319173,-1.8979028699376455,-0.11578752981782055,0.08411390537559307,0.08411390537559307
81,0.39186212789550223,-1.903556901871505,-0.11263510391602076,0.04275359864138222,0.04275359864138222
82,0.44193402351167677,-1.9091667145794466,-0.11148400702263084,0.0033677761977301624,0.0033677761977301624
83,0.49262999846750677,-1.914837681713581,-0.11226993483713897,-0.03367861593130843,0.03367861593130843
84,0.544010048868784,-1.9206751769260204,-0.11491572568284936,-0.06809253740929719,0.06809253740929719
85,0.5961341708213004,-1.9267845738688778,-0.11933313255608562,-0.0996489395340429,0.0996489395340429
86,0.6490623604308473,-1.9332712461942643,-0.12542451167316448,-0.1281864256154865,0.1281864256154865
87,0.7028546138032163,-1.9402405675542922,-0.13256487562777147,-0.13492720030180527,0.13492720030180527
88,0.7575232404577199,-1.9477341698250912,-0.13749753938977088,-0.04560322142024855,0.04560322142024855
89,0.8128292922019351,-1.9554578333581274,-0.1368230699539176,0.06886110458272682,0.06886110458272682
90,0.8684513652091496,-1.963007121587338,-0.1297935993072781,0.18221557790033824,0.18221557790033824
91,0.9240680071026963,-1.9699775330508307,-0.11630498726621759,0.3011680826971594,0.3011680826971594
92,0.9793577655059033,-1.9759645662867134,-0.09600228414272476,0.4326399591986165,0.4326399591986165
93,1.0339991880421036,-1.9805637198330939,-0.06826893369843856,0.5843232571469521,0.5843232571469521
94,1.0876708223346254,-1.98337049222808,-0.03220570976081735,0.765143621517889,0.765143621517889
95,1.1400512160068017,-1.9839803820097797,0.013393576538265485,0.9854561148391404,0.9854561148391404
96,1.1908189166819607,-1.9819888877163008,0.07005371195016832,1.2565582549675793,1.2565582549675793
97,1.2396524719834354,-1.9769915078857514,0.13958453969443949,1.5886395597610203,1.5886395597610203
