corner_id,turn_direction,turn_sign,entrance_index,apex_index,exit_index,num_points,approx_length_m,apex_curvature,apex_curvature_abs,entrance_x,entrance_y,apex_x,apex_y,exit_x,exit_y,selected_direction,keypoint_reference
0,left,1,106,140,210,105,5.25,1.1555381517916399,1.1555381517916399,-74.23095364975688,53.243563736288195,-75.70902618548806,52.70191709959033,-74.38236486371733,49.80305874182726,normal,world_xy_plus_direction_specific_indices
1,left,1,1539,1628,1697,159,7.95,0.6830244440602505,0.6830244440602505,-37.24780984681987,-4.955838587009536,-34.94769126625975,-8.713939460014265,-31.697454909007597,-8.59199147914391,normal,world_xy_plus_direction_specific_indices
2,left,1,2810,2883,2939,130,6.5,0.5105192125475984,0.5105192125475984,20.797231217946972,6.781838952230652,23.557700551922267,9.146318875145393,23.368566477420476,11.829946246763889,normal,world_xy_plus_direction_specific_indices
3,left,1,3117,3245,3295,179,8.950000000000001,0.22425583554241005,0.22425583554241005,20.93001995456359,20.23970290839284,17.31052077373225,25.123205096879783,14.845141260700224,25.449909163230533,normal,world_xy_plus_direction_specific_indices
4,right,-1,4247,4433,4538,292,14.600000000000001,-0.22826298663093553,0.22826298663093553,-31.586268452762884,18.5686795752595,-39.76760848844989,16.32174369065672,-43.11380026737755,20.28332298823645,normal,world_xy_plus_direction_specific_indices
5,right,-1,4709,4917,5061,353,17.650000000000002,-0.19544549785520635,0.19544549785520635,-47.28211801042787,27.660419827926162,-46.0296612970447,36.9205448312793,-39.06348567832853,37.44505161962633,normal,world_xy_plus_direction_specific_indices
6,left,1,5614,5719,5767,154,7.7,0.6204055755112035,0.6204055755112035,-13.86223734538074,42.55095024251775,-12.860097909063928,47.195256023638905,-15.040352169175833,47.804811913247576,normal,world_xy_plus_direction_specific_indices
