obstacle_id,label,centerline_index,side,requested_gap_m,selected_gap_m,opposite_gap_m,left_gap_m,right_gap_m,min_clearance_m,size_m,center_x,center_y,yaw,raceline_min_clearance_m,raceline_blocked
1,key_turn_northwest_hairpin,140,left,0.5,0.5200000000000005,1.5000000000000013,0.5200000000000005,1.5000000000000013,0.49791696667671204,0.4,-75.37790470166073,52.49586234243101,-2.1274470490143416,0.0,True
2,key_turn_south_hairpin,1629,left,0.5,0.5000000000000004,1.2800000000000011,0.5000000000000004,1.2800000000000011,0.48686397075653076,0.4,-34.73700472606514,-8.431740890288966,-0.5109741592567884,0.0,True
3,retained_north_entry,3003,right,0.5,0.5000000000000004,1.2800000000000011,1.2800000000000011,0.5000000000000004,0.4865046441555023,0.4,22.89220614572318,14.97209610045983,1.8743588682756622,0.0,True
4,retained_north_straight,3449,right,0.5,0.5000000000000004,1.240000000000001,1.240000000000001,0.5000000000000004,0.5216400027275085,0.4,6.926036690312927,25.675759111997912,-3.1139184593319613,0.0279710982824172,True
5,retained_northwest_straight,3967,left,0.5,0.5000000000000004,1.240000000000001,0.5000000000000004,1.240000000000001,0.5216400027275085,0.4,-19.64857980196873,24.414600701555276,-3.0740772753532952,0.0,True
6,key_turn_west_chicane_entry,4419,right,0.5,0.5000000000000004,1.250000000000001,1.250000000000001,0.5000000000000004,0.49791696667671204,0.4,-39.003818375376014,16.388991841732683,2.787539223494953,0.056009516711192794,True
7,retained_west_straight,4661,left,0.65,0.6500000000000004,1.180000000000001,0.6500000000000004,1.180000000000001,0.6366615891456604,0.3,-46.3335897721848,25.454645707761543,2.0950048980723603,0.17227733493618985,True
8,key_turn_west_chicane_exit,4917,right,0.5,0.5000000000000004,1.220000000000001,1.220000000000001,0.5000000000000004,0.5330522656440735,0.4,-45.825957155086336,36.599757327549796,0.5657670871318818,0.05792007294466893,True
9,key_turn_north_infield_hairpin,5719,left,0.5,0.5100000000000005,1.180000000000001,0.5100000000000005,1.180000000000001,0.5330522656440735,0.4,-13.039641854741841,47.007202915261495,2.379338428000011,0.0,True
