policy,step,nearest_idx,start_centerline_idx,cumulative_progress_idx,cumulative_progress_m,lap_progress_ratio,x,y,yaw,actual_speed_mps,actual_speed_mps_obs,actual_speed_index,rule_speed_mps_obs,cte,heading_error,curv_short_abs,curv_mid_abs,curv_long_abs,upcoming_curvature_abs,previous_delta_speed_mps_obs,correction_action,delta_speed_mps,rule_speed_mps,rule_speed_index,speed_index_correction,requested_speed_mps,requested_speed_index,executed_speed_index,target_speed_mps,steering_rad,reward,lap_completed,crashed,timeout
rule,0,0,0,0.0,0.0,0.0,-68.92084862286129,54.3361179223754,3.188632313405172,0.011412000453472137,0.0114120002835989,0.022222222222222216,5.865586757659912,9.705207730803522e-07,-6.496642868114577e-08,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.0,0.0,0.0,5.865586757659912,0.5406207508511014,0.0,5.865586757659912,0.5406207508511014,0.022222222222222216,1.2,0.003376957118655827,-0.028099787727789025,False,False,False
rule,1,0,0,0.0,0.0,0.0,-68.92129238823759,54.33609703239283,3.188632313405172,0.0774393586982292,0.07743936032056808,0.04444444444444443,5.865586757659912,9.704920103104087e-07,-6.496642868114577e-08,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.0,0.0,0.0,5.865586757659912,0.5406207508511014,0.0,5.865586757659912,0.5406207508511014,0.04444444444444443,1.4,0.003377573020103914,-0.028135535924343362,False,False,False
rule,2,0,0,0.0,0.0,0.0,-68.92242751246344,54.33604357290814,3.188693235538337,0.14983711832580873,0.14983712136745453,0.06666666666666665,5.865586757659912,9.946002137439791e-07,6.085716813686304e-05,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.0,0.0,0.0,5.865586757659912,0.5406207508511014,0.0,5.865586757659912,0.5406207508511014,0.06666666666666665,1.5999999999999999,0.003382374063286486,-0.02819200120698457,False,False,False
rule,3,0,0,0.0,0.0,0.0,-68.92431610786547,54.335954443497585,3.18877852688246,0.22830236108205582,0.22830235958099365,0.08888888888888886,5.865586757659912,1.2191703717689961e-06,0.00014614850806538016,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.0,0.0,0.0,5.865586757659912,0.5406207508511014,0.0,5.865586757659912,0.5406207508511014,0.08888888888888886,1.7999999999999998,0.003312522451253754,-0.028260251369831384,False,False,False
rule,4,0,0,0.0,0.0,0.0,-68.92701733662683,54.33582676150923,3.1889163905468507,0.31254658381260403,0.31254658102989197,0.11111111111111109,5.865586757659912,1.741718961056904e-06,0.0002840121742337942,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.0,0.0,0.0,5.865586757659912,0.5406207508511014,0.0,5.865586757659912,0.5406207508511014,0.11111111111111109,1.9999999999999998,0.0032301806515666197,-0.02834738272307004,False,False,False
rule,5,0,0,0.0,0.0,0.0,-68.93058752404771,54.33565728040564,3.189082359599302,0.4022949960196754,0.40229499340057373,0.1333333333333333,5.865586757659912,3.156642833346268e-06,0.00044998122029937804,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.0,0.0,0.0,5.865586757659912,0.5406207508511014,0.0,5.865586757659912,0.5406207508511014,0.1333333333333333,2.1999999999999997,0.003121807805141967,-0.028447754047596245,False,False,False
rule,6,0,0,0.0,0.0,0.0,-68.93508034098782,54.3354434128681,3.189308018928985,0.4972858734936612,0.4972858726978302,0.15555555555555556,5.865586757659912,5.524667358258739e-06,0.0006756405346095562,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.0,0.0,0.0,5.865586757659912,0.5406207508511014,0.0,5.865586757659912,0.5406207508511014,0.15555555555555556,2.4,0.002986541850655313,-0.02856931014579256,False,False,False
rule,7,1,0,1.0,0.030000593820999455,8.775778850372971e-05,-68.94052185153745,54.33517058136222,3.1896263905204685,0.5923858734936612,0.5923858880996704,0.17777777777777778,5.867299556732178,2.050106013484765e-05,0.0006547746015712619,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.0,0.0,0.0,5.865586757659912,0.5406207508511014,0.0,5.865586757659912,0.5406207508511014,0.17777777777777778,2.6,0.002812250704767822,0.12136420337321506,False,False,False
rule,8,1,0,1.0,0.030000593820999455,8.775778850372971e-05,-68.94691235519628,54.3348341471016,3.189787763811407,0.6874858734936612,0.6874858736991882,0.20000000000000004,5.867299556732178,5.38956155651249e-05,0.0008161478908732533,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.0,0.0,0.0,5.867299556732178,0.5408110618591309,0.0,5.867299556732178,0.5408110618591309,0.20000000000000004,2.8000000000000003,0.0025582778514684737,-0.028779103534538306,False,False,False
rule,9,1,0,1.0,0.030000593820999455,8.775778850372971e-05,-68.9542516342758,54.33443079688556,3.1901310363685726,0.7825858734936612,0.782585859298706,0.22222222222222227,5.867299556732178,0.00010919585474766791,0.001159420469775796,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.0,0.0,0.0,5.867299556732178,0.5408110618591309,0.0,5.867299556732178,0.5408110618591309,0.22222222222222227,3.0000000000000004,0.002439299666419059,-0.028987868768628695,False,False,False
rule,10,1,0,1.0,0.030000593820999455,8.775778850372971e-05,-68.96254052239225,54.33397599599215,3.190401457771272,0.8776858734936611,0.8776858448982239,0.24444444444444452,5.867299556732178,0.00017091436893679202,0.0014298418536782265,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.0,0.0,0.0,5.867299556732178,0.5408110618591309,0.0,5.867299556732178,0.5408110618591309,0.24444444444444452,3.2000000000000006,0.0021620302945722925,-0.029188983885906645,False,False,False
rule,11,2,0,2.0,0.06000118764199891,0.00017551557700745942,-68.97177827120034,54.33345628948137,3.190833300983305,0.9727858734936611,0.9727858901023865,0.2666666666666668,5.869327545166016,0.00025036142324097455,0.0015273275785148144,0.01113181933760643,0.01113181933760643,0.01113181933760643,0.01113181933760643,0.0,0.0,0.0,5.867299556732178,0.5408110618591309,0.0,5.867299556732178,0.5408110618591309,0.2666666666666668,3.400000000000001,0.0019595167322409997,0.1206487450825194,False,False,False
rule,12,2,0,2.0,0.06000118764199891,0.00017551557700745942,-68.98196568003014,54.33288603638145,3.1911946522382415,1.0678858734936612,1.0678858757019043,0.288888888888889,5.869327545166016,0.0003340748371556401,0.0018886788748204708,0.01113181933760643,0.01113181933760643,0.01113181933760643,0.01113181933760643,0.0,0.0,0.0,5.869327545166016,0.541036393907335,0.0,5.869327545166016,0.541036393907335,0.288888888888889,3.600000000000001,0.001629649229171729,-0.029605039860121914,False,False,False
rule,13,2,0,2.0,0.06000118764199891,0.00017551557700745942,-68.99310189984749,54.33225019994842,3.191705995957745,1.1629858734936611,1.162985920906067,0.3111111111111112,5.869327545166016,0.0004380432073958218,0.002400022465735674,0.01113181933760643,0.01113181933760643,0.01113181933760643,0.01113181933760643,0.0,0.0,0.0,5.869327545166016,0.541036393907335,0.0,5.869327545166016,0.541036393907335,0.3111111111111112,3.800000000000001,0.0014187930433386827,-0.029914901009760804,False,False,False
rule,14,3,0,3.0,0.09000178146299836,0.00026327336551118914,-69.00518773585415,54.33156300418933,3.1921482339884113,1.258085873493661,1.25808584690094,0.3333333333333334,5.871362209320068,0.0005446834256872535,0.0025131942238658667,0.010954674333333969,0.010954674333333969,0.010954674333333969,0.010954674333333969,0.0,0.0,0.0,5.869327545166016,0.541036393907335,0.0,5.869327545166016,0.541036393907335,0.3333333333333334,4.000000000000001,0.0010609756523618818,0.11988727507248097,False,False,False
rule,15,3,0,3.0,0.09000178146299836,0.00026327336551118914,-69.01822228105895,54.33080861861544,3.192732835963572,1.353185873493661,1.3531858921051025,0.3555555555555557,5.871362209320068,0.0006722288089804351,0.0030977963469922543,0.010954674333333969,0.010954674333333969,0.010954674333333969,0.010954674333333969,0.0,0.0,0.0,5.871362209320068,0.5412624677022299,0.0,5.871362209320068,0.5412624677022299,0.3555555555555557,4.200000000000001,0.0007677544277014266,-0.030471674865372486,False,False,False
rule,16,4,0,4.0,0.12000237528399782,0.00035103115401491884,-69.0322063525235,54.330001274518025,3.1932483772232034,1.448285873493661,1.4482858180999756,0.37777777777777793,5.873404026031494,0.000804673065431416,0.003289573360234499,0.010777043178677559,0.010777043178677559,0.010777043178677559,0.010777043178677559,0.0,0.0,0.0,5.871362209320068,0.5412624677022299,0.0,5.871362209320068,0.5412624677022299,0.37777777777777793,4.400000000000001,0.000375396027985314,0.11928497597695832,False,False,False
rule,17,4,0,4.0,0.12000237528399782,0.00035103115401491884,-69.04713900324477,54.3291246893371,3.19390097732643,1.543385873493661,1.5433858633041382,0.40000000000000013,5.873404026031494,0.0009582798811607063,0.0039421734400093555,0.010777043178677559,0.010777043178677559,0.010777043178677559,0.010777043178677559,0.0,0.0,0.0,5.873404026031494,0.5414893362257216,0.0,5.873404026031494,0.5414893362257216,0.40000000000000013,4.600000000000001,4.3709789990283074e-05,-0.031120420666895816,False,False,False
rule,18,5,0,5.0,0.15000296910499727,0.00043878894251864854,-69.06302106117947,54.32819308259538,3.1944836576969604,1.638485873493661,1.6384859085083008,0.4222222222222224,5.875452995300293,0.001118241809308529,0.004206402227282524,0.010598942637443542,0.010598942637443542,0.010598942637443542,0.010598942637443542,0.0,0.0,0.0,5.873404026031494,0.5414893362257216,0.0,5.873404026031494,0.5414893362257216,0.4222222222222224,4.800000000000002,-0.0002856333643700656,0.11859157727052962,False,False,False
rule,19,5,0,5.0,0.15000296910499727,0.00043878894251864854,-69.07985154669215,54.32718987959812,3.195199252921212,1.733585873493661,1.7335858345031738,0.44444444444444464,5.875452995300293,0.0013011943083256483,0.004921997431665659,0.010598942637443542,0.010598942637443542,0.010598942637443542,0.010598942637443542,0.0,0.0,0.0,5.875452995300293,0.5417169994778104,0.0,5.875452995300293,0.5417169994778104,0.44444444444444464,5.000000000000002,-0.0006434186122101452,-0.03186129620019347,False,False,False
rule,20,6,0,6.0,0.18000356292599673,0.0005265467310223783,-69.09763223341896,54.3261451156783,3.1956721741895184,1.8286858734936609,1.8286858797073364,0.4666666666666669,5.877508163452148,0.0014752334682270885,0.005081789568066597,0.010420388542115688,0.010420388542115688,0.010420388542115688,0.010420388542115688,0.0,0.0,0.0,5.875452995300293,0.5417169994778104,0.0,5.875452995300293,0.5417169994778104,0.4666666666666669,5.200000000000002,-0.0010889465550762399,0.1178617311013261,False,False,False
rule,21,7,0,7.0,0.21000415674699618,0.000614304519526108,-69.11636487227561,54.325089553838986,3.195707894272609,1.9237858734936608,1.923785924911499,0.48888888888888915,5.879570007324219,0.001611321815289557,0.004809712991118431,0.010241396725177765,0.010241396725177765,0.010241396725177765,0.010241396725177765,0.0,0.0,0.0,5.877508163452148,0.5419453514946831,0.0,5.877508163452148,0.5419453514946831,0.48888888888888915,5.400000000000002,-0.0012465833079837608,0.11771964863394889,False,False,False
