corner_id,role,progress_m,raceline_index,turn_direction,rule_target_speed_mps,model_target_speed_mps,rule_executed_speed_index,model_executed_speed_index,model_correction_action,model_delta_speed_mps,model_speed_index_correction,delta_target_speed_mps
0,entrance,3.1800629450259423,106,left,5.460386276245117,5.913517862558365,0.4955984751383464,0.5459464291731516,0.10457537323236465,0.4183014929294586,0.046477943658828735,0.4531315863132477
0,apex,4.2000831349399235,140,left,4.365665435791016,4.757874131202698,0.37396282619900173,0.4175415701336331,0.09805217385292053,0.39220869541168213,0.04357874393463135,0.39220869541168213
0,exit,6.300124702409885,210,left,3.2921955585479736,3.5931390523910522,0.2546883953942193,0.2881265613767836,0.07527706027030945,0.3011082410812378,0.03345647123124865,0.3009434938430786
1,entrance,46.170913890518165,1539,left,5.910478591918945,6.360122054815292,0.5456087324354384,0.5955691172016991,0.11241086572408676,0.44964346289634705,0.04996038476626078,0.44964346289634705
1,apex,48.84096674058711,1628,left,5.929299831390381,6.379431664943695,0.5476999812655978,0.5977146294381883,0.11253295838832855,0.4501318335533142,0.050014648172590465,0.4501318335533142
1,exit,50.91100771423608,1697,left,5.944283485412598,6.394761711359024,0.5493648317125108,0.5994179679287804,0.1126742735505104,0.4506970942020416,0.05007745491133796,0.4504782259464264
2,entrance,84.30166863700846,2810,left,4.685183048248291,5.031546592712402,0.409464783138699,0.4479496214124892,0.08659088611602783,0.34636354446411133,0.03848483827379015,0.34636354446411133
2,apex,86.49171198594144,2883,left,5.851385116577148,6.291057705879211,0.5390427907307943,0.5878953006532457,0.10991814732551575,0.439672589302063,0.048852509922451444,0.439672589302063
2,exit,88.1717452399174,2939,left,5.885097026824951,6.336550772190094,0.5427885585361056,0.5929500857988993,0.11301948130130768,0.4520779252052307,0.05023088057835897,0.4514537453651428
3,entrance,93.5118509400553,3117,left,5.997864246368408,6.447140693664551,0.5553182495964898,0.6052378548516167,0.11248612403869629,0.44994449615478516,0.04999383290608724,0.4492764472961426
3,apex,97.35192694914323,3245,left,5.961181163787842,6.411422789096832,0.5512423515319824,0.6012691987885369,0.11261285841464996,0.45045143365859985,0.050050159295399986,0.4502416253089905
3,exit,98.85195664019321,3295,left,5.971667766571045,6.4226934015750885,0.552407529619005,0.6025214890638987,0.1127564087510109,0.4510256350040436,0.05011395944489373,0.4510256350040436
4,entrance,127.41252195778469,4247,right,5.972404479980469,6.420706331729889,0.5524893866644965,0.6023007035255432,0.11256493628025055,0.4502597451210022,0.050028860569000244,0.44830185174942017
4,apex,132.99263240849058,4433,right,5.668133735656738,6.110755056142807,0.518681526184082,0.5678616729047563,0.11111929267644882,0.4444771707057953,0.04938635230064392,0.4426213204860687
4,exit,136.14269475969553,4538,right,5.483932018280029,5.920476078987122,0.498214668697781,0.5467195643319024,0.10953179001808167,0.43812716007232666,0.04868079556359185,0.4365440607070923
5,entrance,141.27279630308644,4709,right,4.51645565032959,4.888763189315796,0.3907172944810655,0.4320847988128662,0.09723609685897827,0.3889443874359131,0.04321604304843479,0.37230753898620605
5,apex,147.5129198178543,4917,right,5.048439979553223,5.423655867576599,0.4498266643948025,0.4915173186196221,0.09380397200584412,0.37521588802337646,0.04169065422481961,0.37521588802337646
5,exit,151.83300532807823,5061,right,5.897961139678955,6.339678913354874,0.5442179044087728,0.5932976570394304,0.10951236635446548,0.43804946541786194,0.04867216282420688,0.4417177736759186
6,entrance,168.42333371109095,5614,left,5.878134250640869,6.327841758728027,0.5420149167378744,0.5919824176364474,0.11242687702178955,0.4497075080871582,0.04996750089857313,0.4497075080871582
6,apex,171.57339606229587,5719,left,5.987493991851807,6.437025249004364,0.5541659990946451,0.6041139165560404,0.11238281428813934,0.4495312571525574,0.049947917461395264,0.4495312571525574
6,exit,173.01342456570384,5767,left,5.990307807922363,6.4412981569767,0.554478645324707,0.6045886841085222,0.11277643591165543,0.4511057436466217,0.050122860405180186,0.45099034905433655
