corner_id,turn_direction,entrance_index,apex_index,exit_index,entrance_progress_idx,apex_progress_idx,exit_progress_idx,entrance_progress_m,apex_progress_m,exit_progress_m
0,left,106,140,210,106,140,210,3.1800629450259423,4.2000831349399235,6.300124702409885
1,left,1539,1628,1697,1539,1628,1697,46.170913890518165,48.84096674058711,50.91100771423608
2,left,2810,2883,2939,2810,2883,2939,84.30166863700846,86.49171198594144,88.1717452399174
3,left,3117,3245,3295,3117,3245,3295,93.5118509400553,97.35192694914323,98.85195664019321
4,right,4247,4433,4538,4247,4433,4538,127.41252195778469,132.99263240849058,136.14269475969553
5,right,4709,4917,5061,4709,4917,5061,141.27279630308644,147.5129198178543,151.83300532807823
6,left,5614,5719,5767,5614,5719,5767,168.42333371109095,171.57339606229587,173.01342456570384
