policy,step,nearest_idx,start_centerline_idx,cumulative_progress_idx,cumulative_progress_m,lap_progress_ratio,x,y,yaw,actual_speed_mps,actual_speed_mps_obs,actual_speed_index,rule_speed_mps_obs,cte,heading_error,curv_short_abs,curv_mid_abs,curv_long_abs,upcoming_curvature_abs,previous_delta_speed_mps_obs,correction_action,delta_speed_mps,rule_speed_mps,rule_speed_index,speed_index_correction,requested_speed_mps,requested_speed_index,executed_speed_index,target_speed_mps,steering_rad,reward,lap_completed,crashed,timeout
model,0,0,0,0.0,0.0,0.0,-68.92084862286129,54.3361179223754,3.188632313405172,0.011412000453472137,0.0114120002835989,0.022222222222222216,5.865586757659912,9.705207730803522e-07,-6.496642868114577e-08,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.0,-0.04206063598394394,-0.16824254393577576,5.865586757659912,0.5406207508511014,-0.018693615992863972,5.697344213724136,0.5219271348582374,0.022222222222222216,1.2,0.003376957118655827,-0.07520770002980624,False,False,False
model,1,0,0,0.0,0.0,0.0,-68.92129238823759,54.33609703239283,3.188632313405172,0.0774393586982292,0.07743936032056808,0.04444444444444443,5.865586757659912,9.704920103104087e-07,-6.496642868114577e-08,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,-0.16824254393577576,-0.04194827377796173,-0.16779309511184692,5.865586757659912,0.5406207508511014,-0.018643677234649658,5.697793662548065,0.5219770736164517,0.04444444444444443,1.4,0.003377573020103914,-0.041648873298076886,False,False,False
model,2,0,0,0.0,0.0,0.0,-68.92242751246344,54.33604357290814,3.188693235538337,0.14983711832580873,0.14983712136745453,0.06666666666666665,5.865586757659912,9.946002137439791e-07,6.085716813686304e-05,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,-0.16779309511184692,-0.03980090841650963,-0.1592036336660385,5.865586757659912,0.5406207508511014,-0.017689292629559834,5.706383123993874,0.5229314582215415,0.06666666666666665,1.5999999999999999,0.003382374063286486,-0.04264618418942934,False,False,False
model,3,0,0,0.0,0.0,0.0,-68.92431610786547,54.335954443497585,3.18877852688246,0.22830236108205582,0.22830235958099365,0.08888888888888886,5.865586757659912,1.2191703717689961e-06,0.00014614850806538016,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,-0.1592036336660385,-0.03899209946393967,-0.15596839785575867,5.865586757659912,0.5406207508511014,-0.017329821983973186,5.709618359804153,0.5232909288671281,0.08888888888888886,1.7999999999999998,0.003312522451253754,-0.041384770360348044,False,False,False
model,4,0,0,0.0,0.0,0.0,-68.92701733662683,54.33582676150923,3.1889163905468507,0.31254658381260403,0.31254658102989197,0.11111111111111109,5.865586757659912,1.741718961056904e-06,0.0002840121742337942,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,-0.15596839785575867,-0.038131169974803925,-0.1525246798992157,5.865586757659912,0.5406207508511014,-0.01694718665546841,5.713062077760696,0.5236735641956329,0.11111111111111109,1.9999999999999998,0.0032301806515666197,-0.041238100706315894,False,False,False
model,5,0,0,0.0,0.0,0.0,-68.93058752404771,54.33565728040564,3.189082359599302,0.4022949960196754,0.40229499340057373,0.1333333333333333,5.865586757659912,3.156642833346268e-06,0.00044998122029937804,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,-0.1525246798992157,-0.03708344325423241,-0.14833377301692963,5.865586757659912,0.5406207508511014,-0.016481530335214403,5.7172529846429825,0.5241392205158869,0.1333333333333333,2.1999999999999997,0.003121807805141967,-0.041152637265407827,False,False,False
model,6,0,0,0.0,0.0,0.0,-68.93508034098782,54.3354434128681,3.189308018928985,0.4972858734936612,0.4972858726978302,0.15555555555555556,5.865586757659912,5.524667358258739e-06,0.0006756405346095562,0.01145776268094778,0.01145776268094778,0.01145776268094778,0.01145776268094778,-0.14833377301692963,-0.03588312119245529,-0.14353248476982117,5.865586757659912,0.5406207508511014,-0.015948053863313463,5.722054272890091,0.5246726969877878,0.15555555555555556,2.4,0.002986541850655313,-0.041012166576799944,False,False,False
model,7,1,0,1.0,0.030000593820999455,8.775778850372971e-05,-68.94052185153745,54.33517058136222,3.1896263905204685,0.5923858734936612,0.5923858880996704,0.17777777777777778,5.867299556732178,2.050106013484765e-05,0.0006547746015712619,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.011308462359011173,-0.14353248476982117,-0.03451775759458542,-0.13807103037834167,5.865586757659912,0.5406207508511014,-0.01534122559759352,5.72751572728157,0.5252795252535079,0.17777777777777778,2.6,0.002812250704767822,0.10922623006465183,False,False,False
model,8,1,0,1.0,0.030000593820999455,8.775778850372971e-05,-68.94691235519628,54.3348341471016,3.189787763811407,0.6874858734936612,0.6874858736991882,0.20000000000000004,5.867299556732178,5.38956155651249e-05,0.0008161478908732533,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.011308462359011173,-0.13807103037834167,-0.03304916247725487,-0.13219664990901947,5.867299556732178,0.5408110618591309,-0.014688516656557718,5.735102906823158,0.5261225452025732,0.20000000000000004,2.8000000000000003,0.0025582778514684737,-0.0405297116211243,False,False,False
model,9,1,0,1.0,0.030000593820999455,8.775778850372971e-05,-68.9542516342758,54.33443079688556,3.1901310363685726,0.7825858734936612,0.782585859298706,0.22222222222222227,5.867299556732178,0.00010919585474766791,0.001159420469775796,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.011308462359011173,-0.13219664990901947,-0.03147478401660919,-0.12589913606643677,5.867299556732178,0.5408110618591309,-0.013988792896270752,5.741400420665741,0.5268222689628601,0.22222222222222227,3.0000000000000004,0.002439299666419059,-0.04031930242246018,False,False,False
model,10,1,0,1.0,0.030000593820999455,8.775778850372971e-05,-68.96254052239225,54.33397599599215,3.190401457771272,0.8776858734936611,0.8776858448982239,0.24444444444444452,5.867299556732178,0.00017091436893679202,0.0014298418536782265,0.011308462359011173,0.011308462359011173,0.011308462359011173,0.011308462359011173,-0.12589913606643677,-0.029784217476844788,-0.11913686990737915,5.867299556732178,0.5408110618591309,-0.013237429989708794,5.748162686824799,0.5275736318694221,0.24444444444444452,3.2000000000000006,0.0021620302945722925,-0.0400723867103085,False,False,False
